First Name,Last Name,Position,Team,Cr,Team_abbr
Khris,Middleton,Ala,Washington Wizards,"8,2",WAS
Bobby,Portis,Ala,Milwaukee Bucks,"8,2",MIL
Cameron,Johnson,Ala,Denver Nuggets,"8,2",DEN
Kelly,Oubre Jr,Ala,Philadelphia 76ers,"8,2",PHI
Draymond,Green,Ala,Golden State Warriors,"8,1",GSW
Tobias,Harris,Ala,Detroit Pistons,"8,1",DET
Kevin,Porter Jr,Guardia,Milwaukee Bucks,"8,1",MIL
Anfernee,Simons,Guardia,Boston Celtics,"8,1",BOS
Dillon,Brooks,Ala,Phoenix Suns,"8,1",PHX
Moussa,Diabate,Ala,Charlotte Hornets,"8,1",CHA
Max,Christie,Guardia,Dallas Mavericks,"8,1",DAL
Kyle,Filipowski,Centro,Utah Jazz,"8,1",UTA
Malik,Monk,Guardia,Sacramento Kings,8,SAC
Dennis,Schroder,Guardia,Sacramento Kings,8,SAC
Harrison,Barnes,Ala,San Antonio Spurs,"7,9",SAS
Peyton,Watson,Guardia,Denver Nuggets,"7,9",DEN
Saddiq,Bey,Ala,New Orleans Pelicans,"7,8",NOP
Jordan,Poole,Guardia,New Orleans Pelicans,"7,8",NOP
Cam,Thomas,Guardia,Brooklyn Nets,"7,8",BKN
Luke,Kornet,Centro,San Antonio Spurs,"7,8",SAS
Jeremiah,Fears,Guardia,New Orleans Pelicans,"7,8",NOP
Steven,Adams,Centro,Houston Rockets,"7,6",HOU
Duncan,Robinson,Ala,Detroit Pistons,"7,6",DET
T.J.,Mcconnell,Guardia,Indiana Pacers,"7,6",IND
Jay,Huff,Centro,Indiana Pacers,"7,6",IND
Yves,Missi,Centro,New Orleans Pelicans,"7,6",NOP
Isaiah,Stewart,Ala,Detroit Pistons,"7,5",DET
Jonathan,Kuminga,Ala,Golden State Warriors,"7,5",GSW
Moses,Moody,Guardia,Golden State Warriors,"7,5",GSW
Zaccharie,Risacher,Ala,Atlanta Hawks,"7,5",ATL
Jaylon,Tyson,Guardia,Cleveland Cavaliers,"7,5",CLE
Jaylen,Wells,Ala,Memphis Grizzlies,"7,5",MEM
Cedric,Coward,Guardia,Memphis Grizzlies,"7,5",MEM
Fred,Vanvleet,Guardia,Houston Rockets,"7,4",HOU
John,Collins,Ala,Los Angeles Clippers,"7,4",LAC
Rui,Hachimura,Ala,Los Angeles Lakers,"7,4",LAL
Aaron,Nesmith,Ala,Indiana Pacers,"7,4",IND
Noah,Clowney,Ala,Brooklyn Nets,"7,4",BKN
Dylan,Harper,Guardia,San Antonio Spurs,"7,4",SAS
Egor,Demin,Guardia,Brooklyn Nets,"7,3",BKN
Kyle,Kuzma,Ala,Milwaukee Bucks,"7,2",MIL
Grayson,Allen,Guardia,Phoenix Suns,"7,2",PHX
Tari,Eason,Ala,Houston Rockets,"7,2",HOU
Miles,McBride,Guardia,New York Knicks,"7,2",NYK
Anthony,Black,Guardia,Orlando Magic,"7,2",ORL
Cam,Spencer,Guardia,Memphis Grizzlies,"7,2",MEM
Robert,Williams III,Centro,Portland Trail Blazers,"7,1",POR
Terance,Mann,Guardia,Brooklyn Nets,"7,1",BKN
Goga,Bitadze,Centro,Orlando Magic,"7,1",ORL
Cason,Wallace,Guardia,Oklahoma City Thunder,"7,1",OKC
Spencer,Dinwiddie,Guardia,Charlotte Hornets,7,CHA
Tim,Hardaway Jr,Ala,Denver Nuggets,7,DEN
Julian,Champagnie,Ala,San Antonio Spurs,7,SAS
Reed,Sheppard,Guardia,Houston Rockets,7,HOU
Isaiah,Collier,Guardia,Utah Jazz,"6,9",UTA
Maxime,Raynaud,Centro,Sacramento Kings,"6,9",SAC
D'angelo,Russell,Guardia,Dallas Mavericks,"6,8",DAL
Precious,Achiuwa,Ala,Sacramento Kings,"6,8",SAC
